task,pool_size,actual_pool_size,repeat,gold_count,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,first_gold_rank@10
pdf-excel-diff,10,10,2,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
pedestrian-traffic-counting,10,10,2,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
pg-essay-to-audiobook,10,10,2,4,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9047172294870751,1
powerlifting-coef-calc,10,10,2,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
pptx-reference-formatting,10,10,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
protein-expression-analysis,10,10,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
python-scala-translation,10,10,2,6,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002,1
quantum-numerical-simulation,10,10,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
r2r-mpc-control,10,10,2,4,1.0,1.0,1.0,1.0,0.25,0.25,0.25,1.0,0.3903800499921017,1
react-performance-debugging,10,10,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
reserves-at-risk-calc,10,10,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
sales-pivot-analysis,10,10,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
scheduling-email-assistant,10,10,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
sec-financial-report,10,10,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
seismic-phase-picking,10,10,2,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
setup-fuzzing-py,10,10,2,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
shock-analysis-demand,10,10,2,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
shock-analysis-supply,10,10,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
simpo-code-reproduction,10,10,2,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
software-dependency-audit,10,10,2,3,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693,1
speaker-diarization-subtitles,10,10,2,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
spring-boot-jakarta-migration,10,10,2,5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1
suricata-custom-exfil,10,10,2,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
syzkaller-ppdev-syzlang,10,10,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
taxonomy-tree-merge,10,10,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-structure-parser,10,10,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-to-obj,10,10,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
travel-planning,10,10,2,6,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,0.9705437052559007,1
trend-anomaly-causal-inference,10,10,2,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
video-filler-word-remover,10,10,2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
video-silence-remover,10,10,2,7,1.0,1.0,1.0,1.0,0.42857142857142855,0.7142857142857143,0.8571428571428571,1.0,0.9083745556952365,1
video-tutorial-indexer,10,10,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
virtualhome-agent-planning,10,10,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
weighted-gdp-calc,10,10,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
xlsx-recover-data,10,10,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
3d-scan-calc,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
adaptive-cruise-control,10,10,3,5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1
azure-bgp-oscillation-route-leak,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
citation-check,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
civ6-adjacency-optimizer,10,10,3,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
court-form-filling,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
crystallographic-wyckoff-position-analysis,10,10,3,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
dapt-intrusion-detection,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
data-to-d3,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dialogue-parser,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dynamic-object-aware-egomotion,10,10,3,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
earthquake-phase-association,10,10,3,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
earthquake-plate-calculation,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
econ-detrending-correlation,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-ac-optimal-power-flow,10,10,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-market-pricing,10,10,3,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
enterprise-information-search,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
exceltable-in-ppt,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
exoplanet-detection-period,10,10,3,5,1.0,1.0,1.0,1.0,0.6,0.8,0.8,1.0,0.8687949224876582,1
financial-modeling-qa,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
find-topk-similiar-chemicals,10,10,3,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
fix-build-agentops,10,10,3,4,1.0,1.0,1.0,1.0,0.5,0.75,0.75,1.0,0.8048099750039491,1
fix-build-google-auto,10,10,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
fix-druid-loophole-cve,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
fix-erlang-ssh-cve,10,10,3,6,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.7751482523375256,1
fix-visual-stability,10,10,3,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
flink-query,10,10,3,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
flood-risk-analysis,10,10,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gh-repo-analytics,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
glm-lake-mendota,10,10,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gravitational-wave-detection,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
grid-dispatch-operator,10,10,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
hvac-control,10,10,3,5,1.0,1.0,1.0,1.0,0.6,0.6,0.6,1.0,0.7227265726449519,1
invoice-fraud-detection,10,10,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
jax-computing-basics,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
jpg-ocr-stat,10,10,3,5,1.0,1.0,1.0,1.0,0.4,0.4,0.4,1.0,0.5531464700081437,1
lab-unit-harmonization,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lake-warming-attribution,10,10,3,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
latex-formula-extraction,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lean4-proof,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-codebook-normalization,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-equipment-maintenance,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-fjsp-optimization,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
mario-coin-counting,10,10,3,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
mars-clouds-clustering,10,10,3,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
mhc-layer-impl,10,10,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
multilingual-video-dubbing,10,10,3,6,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,0.9876712785649565,1
offer-letter-generator,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
organize-messy-files,10,10,3,5,1.0,1.0,1.0,1.0,0.4,0.4,0.4,1.0,0.5531464700081437,1
paper-anonymizer,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
parallel-tfidf-search,10,10,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pddl-tpp-planning,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pdf-excel-diff,10,10,3,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
pedestrian-traffic-counting,10,10,3,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
pg-essay-to-audiobook,10,10,3,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
powerlifting-coef-calc,10,10,3,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
pptx-reference-formatting,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
protein-expression-analysis,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
python-scala-translation,10,10,3,6,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.9495662644168646,1
quantum-numerical-simulation,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
r2r-mpc-control,10,10,3,4,1.0,1.0,1.0,1.0,0.25,0.25,0.25,1.0,0.3903800499921017,1
react-performance-debugging,10,10,3,2,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.6509209298071326,2
reserves-at-risk-calc,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
sales-pivot-analysis,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
scheduling-email-assistant,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
sec-financial-report,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
seismic-phase-picking,10,10,3,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
setup-fuzzing-py,10,10,3,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
shock-analysis-demand,10,10,3,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
shock-analysis-supply,10,10,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
simpo-code-reproduction,10,10,3,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
software-dependency-audit,10,10,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
speaker-diarization-subtitles,10,10,3,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
spring-boot-jakarta-migration,10,10,3,5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1
suricata-custom-exfil,10,10,3,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
syzkaller-ppdev-syzlang,10,10,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
taxonomy-tree-merge,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-structure-parser,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-to-obj,10,10,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
travel-planning,10,10,3,6,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.9099466049873366,1
trend-anomaly-causal-inference,10,10,3,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
video-filler-word-remover,10,10,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
video-silence-remover,10,10,3,7,1.0,1.0,1.0,1.0,0.42857142857142855,0.7142857142857143,0.8571428571428571,1.0,0.9083745556952365,1
video-tutorial-indexer,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
virtualhome-agent-planning,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
weighted-gdp-calc,10,10,3,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
xlsx-recover-data,10,10,3,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6934264036172708,2
3d-scan-calc,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
adaptive-cruise-control,10,10,4,5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1
azure-bgp-oscillation-route-leak,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
citation-check,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
civ6-adjacency-optimizer,10,10,4,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
court-form-filling,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
crystallographic-wyckoff-position-analysis,10,10,4,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
dapt-intrusion-detection,10,10,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
data-to-d3,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dialogue-parser,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dynamic-object-aware-egomotion,10,10,4,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
earthquake-phase-association,10,10,4,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
earthquake-plate-calculation,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
econ-detrending-correlation,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-ac-optimal-power-flow,10,10,4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-market-pricing,10,10,4,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
enterprise-information-search,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
exceltable-in-ppt,10,10,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
exoplanet-detection-period,10,10,4,5,1.0,1.0,1.0,1.0,0.6,0.8,0.8,1.0,0.8687949224876582,1
financial-modeling-qa,10,10,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
find-topk-similiar-chemicals,10,10,4,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
fix-build-agentops,10,10,4,4,1.0,1.0,1.0,1.0,0.5,0.75,0.75,1.0,0.787702056960637,1
fix-build-google-auto,10,10,4,3,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693,1
fix-druid-loophole-cve,10,10,4,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6934264036172708,2
fix-erlang-ssh-cve,10,10,4,6,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.7751482523375256,1
fix-visual-stability,10,10,4,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
flink-query,10,10,4,2,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.3065735963827292,3
flood-risk-analysis,10,10,4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gh-repo-analytics,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
glm-lake-mendota,10,10,4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gravitational-wave-detection,10,10,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
grid-dispatch-operator,10,10,4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
hvac-control,10,10,4,5,1.0,1.0,1.0,1.0,0.6,0.6,0.6,1.0,0.7227265726449519,1
invoice-fraud-detection,10,10,4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
jax-computing-basics,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
jpg-ocr-stat,10,10,4,5,1.0,1.0,1.0,1.0,0.4,0.4,0.4,1.0,0.5531464700081437,1
lab-unit-harmonization,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lake-warming-attribution,10,10,4,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
latex-formula-extraction,10,10,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lean4-proof,10,10,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-codebook-normalization,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-equipment-maintenance,10,10,4,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6934264036172708,2
manufacturing-fjsp-optimization,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
mario-coin-counting,10,10,4,3,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
mars-clouds-clustering,10,10,4,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
mhc-layer-impl,10,10,4,3,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693,1
multilingual-video-dubbing,10,10,4,6,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,0.9930783166417604,1
offer-letter-generator,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
organize-messy-files,10,10,4,5,1.0,1.0,1.0,1.0,0.4,0.4,0.4,1.0,0.5531464700081437,1
paper-anonymizer,10,10,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
parallel-tfidf-search,10,10,4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pddl-tpp-planning,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pdf-excel-diff,10,10,4,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
pedestrian-traffic-counting,10,10,4,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
pg-essay-to-audiobook,10,10,4,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
powerlifting-coef-calc,10,10,4,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
pptx-reference-formatting,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
protein-expression-analysis,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
python-scala-translation,10,10,4,6,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002,1
quantum-numerical-simulation,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
r2r-mpc-control,10,10,4,4,1.0,1.0,1.0,1.0,0.25,0.25,0.25,1.0,0.3903800499921017,1
react-performance-debugging,10,10,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
reserves-at-risk-calc,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
sales-pivot-analysis,10,10,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
scheduling-email-assistant,10,10,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
sec-financial-report,10,10,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
seismic-phase-picking,10,10,4,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
setup-fuzzing-py,10,10,4,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
shock-analysis-demand,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
shock-analysis-supply,10,10,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
simpo-code-reproduction,10,10,4,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
software-dependency-audit,10,10,4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
speaker-diarization-subtitles,10,10,4,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
spring-boot-jakarta-migration,10,10,4,5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1
suricata-custom-exfil,10,10,4,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
syzkaller-ppdev-syzlang,10,10,4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
taxonomy-tree-merge,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-structure-parser,10,10,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-to-obj,10,10,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
travel-planning,10,10,4,6,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.9099466049873366,1
trend-anomaly-causal-inference,10,10,4,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
video-filler-word-remover,10,10,4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
video-silence-remover,10,10,4,7,1.0,1.0,1.0,1.0,0.42857142857142855,0.7142857142857143,0.8571428571428571,1.0,0.9083745556952365,1
video-tutorial-indexer,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
virtualhome-agent-planning,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
weighted-gdp-calc,10,10,4,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
xlsx-recover-data,10,10,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
3d-scan-calc,10,10,5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
adaptive-cruise-control,10,10,5,5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1
azure-bgp-oscillation-route-leak,10,10,5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
citation-check,10,10,5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
civ6-adjacency-optimizer,10,10,5,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
court-form-filling,10,10,5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
crystallographic-wyckoff-position-analysis,10,10,5,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
dapt-intrusion-detection,10,10,5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
data-to-d3,10,10,5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dialogue-parser,10,10,5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dynamic-object-aware-egomotion,10,10,5,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
earthquake-phase-association,10,10,5,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
earthquake-plate-calculation,10,10,5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
econ-detrending-correlation,10,10,5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-ac-optimal-power-flow,10,10,5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-market-pricing,10,10,5,4,1.0,1.0,1.0,1.0,0.5,0.75,0.75,1.0,0.8048099750039491,1
enterprise-information-search,10,10,5,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
exceltable-in-ppt,10,10,5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
exoplanet-detection-period,10,10,5,5,1.0,1.0,1.0,1.0,0.6,0.8,0.8,1.0,0.8687949224876582,1
financial-modeling-qa,10,10,5,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6934264036172708,2
find-topk-similiar-chemicals,10,10,5,3,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
